NOME,TIPO DE BENEFICIO,ATUALMENTE NO SISTEMA,CICLO DE VALIDAÇÃO,VALIDADO PGE,VALIDADO PRESIDENCIA,SIMULAVEL,TIPO,APOS_ESPECIAL,TIPO_REMUN,PARIDADE,TabelaPontuacao,Requisitos da IN Nº 5/2020,Relatório p/ Reserva Remunerada por Idade ex-officio,ADICIONAL_INATIVIDADE,DATA_ADM_ATE,DATA_ADM_APOS,DATA_DIREITO_ATE,DATA_DIREITO_APOS,FUNDAMENTACAO_PROPORCIONAL,VISIVEL DTC PROPORCIONAL,FUNDAMENTACAO_INTEGRAL,VISIVEL DTC INTEGRAL,SEXO,INTEGRAL,TIPO_CALCULO,FUNDAMENTACAO,UNIDADE AUDITADA,GRUPO DE SUBSTITUICAO,SUBSTITUI,ESTADO DA UNIDADE,DEPLOYABLE,PENDENCIAS
"Aposentadoria Voluntária de Servidor com Deficiência MODERADA (MULHER) - Art. 35, inciso II, da Lei Complementar Estadual nº 1.100/2021",,,,,,,,,,,,,,,,,,,,,"Aposentadoria voluntária de servidor público com deficiência moderada, com proventos integrais (cálculo por integralidade) e com paridade. O direito exige, cumulativamente, 24 anos de tempo de contribuição — prazo que o artigo 35, inciso II, da Lei Complementar Estadual nº 1.100/2021 fixa para a deficiência moderada, se mulher —, além do tempo mínimo de 10 anos de efetivo exercício no serviço público e 5 anos no cargo efetivo em que se dará a aposentadoria, exigidos pelo caput do mesmo artigo. O grau de deficiência é apurado em avaliação biopsicossocial realizada por equipe multiprofissional e interdisciplinar, prévia à concessão, na forma do caput do artigo 35 e do artigo 36 da mesma Lei Complementar. A base de cálculo dos proventos é a do artigo 25 e o reajuste o do artigo 27, inciso I, ambos da Lei Complementar Estadual nº 1.100/2021. A competência e a remissão à lei complementar do ente vêm do artigo 40, § 4º-A, e do artigo 40, § 1º, inciso III, segunda parte, da Constituição Federal, com redação dada pela Emenda Constitucional nº 103/2019.",,,,,,servidor-com-deficiencia-moderada-feminino,servidor-com-deficiencia-por-grau,regra-0059 regra-0060 regra-0061 regra-0062 regra-0063 regra-0064,elaboracao,N,P_COMPILA_PENDENTE
"Aposentadoria Voluntária de Servidor com Deficiência MODERADA (HOMEM) - Art. 35, inciso II, da Lei Complementar Estadual nº 1.100/2021",,,,,,,,,,,,,,,,,,,,,"Aposentadoria voluntária de servidor público com deficiência moderada, com proventos integrais (cálculo por integralidade) e com paridade. O direito exige, cumulativamente, 29 anos de tempo de contribuição — prazo que o artigo 35, inciso II, da Lei Complementar Estadual nº 1.100/2021 fixa para a deficiência moderada, se homem —, além do tempo mínimo de 10 anos de efetivo exercício no serviço público e 5 anos no cargo efetivo em que se dará a aposentadoria, exigidos pelo caput do mesmo artigo. O grau de deficiência é apurado em avaliação biopsicossocial realizada por equipe multiprofissional e interdisciplinar, prévia à concessão, na forma do caput do artigo 35 e do artigo 36 da mesma Lei Complementar. A base de cálculo dos proventos é a do artigo 25 e o reajuste o do artigo 27, inciso I, ambos da Lei Complementar Estadual nº 1.100/2021. A competência e a remissão à lei complementar do ente vêm do artigo 40, § 4º-A, e do artigo 40, § 1º, inciso III, segunda parte, da Constituição Federal, com redação dada pela Emenda Constitucional nº 103/2019.",,,,,,servidor-com-deficiencia-moderada-masculino,servidor-com-deficiencia-por-grau,regra-0059 regra-0060 regra-0061 regra-0062 regra-0063 regra-0064,elaboracao,N,P_COMPILA_PENDENTE
"Aposentadoria Voluntária de Servidor com Deficiência GRAVE (MULHER) - Art. 35, inciso I, da Lei Complementar Estadual nº 1.100/2021",,,,,,,,,,,,,,,,,,,,,"Aposentadoria voluntária de servidor público com deficiência grave, com proventos integrais (cálculo por integralidade) e com paridade. O direito exige, cumulativamente, 20 anos de tempo de contribuição — prazo que o artigo 35, inciso I, da Lei Complementar Estadual nº 1.100/2021 fixa para a deficiência grave, se mulher —, além do tempo mínimo de 10 anos de efetivo exercício no serviço público e 5 anos no cargo efetivo em que se dará a aposentadoria, exigidos pelo caput do mesmo artigo. O grau de deficiência é apurado em avaliação biopsicossocial realizada por equipe multiprofissional e interdisciplinar, prévia à concessão, na forma do caput do artigo 35 e do artigo 36 da mesma Lei Complementar. A base de cálculo dos proventos é a do artigo 25 e o reajuste o do artigo 27, inciso I, ambos da Lei Complementar Estadual nº 1.100/2021. A competência e a remissão à lei complementar do ente vêm do artigo 40, § 4º-A, e do artigo 40, § 1º, inciso III, segunda parte, da Constituição Federal, com redação dada pela Emenda Constitucional nº 103/2019.",,,,,,servidor-com-deficiencia-grave-feminino,servidor-com-deficiencia-por-grau,regra-0059 regra-0060 regra-0061 regra-0062 regra-0063 regra-0064,elaboracao,N,P_COMPILA_PENDENTE
"Aposentadoria Voluntária de Servidor com Deficiência GRAVE (HOMEM) - Art. 35, inciso I, da Lei Complementar Estadual nº 1.100/2021",,,,,,,,,,,,,,,,,,,,,"Aposentadoria voluntária de servidor público com deficiência grave, com proventos integrais (cálculo por integralidade) e com paridade. O direito exige, cumulativamente, 25 anos de tempo de contribuição — prazo que o artigo 35, inciso I, da Lei Complementar Estadual nº 1.100/2021 fixa para a deficiência grave, se homem —, além do tempo mínimo de 10 anos de efetivo exercício no serviço público e 5 anos no cargo efetivo em que se dará a aposentadoria, exigidos pelo caput do mesmo artigo. O grau de deficiência é apurado em avaliação biopsicossocial realizada por equipe multiprofissional e interdisciplinar, prévia à concessão, na forma do caput do artigo 35 e do artigo 36 da mesma Lei Complementar. A base de cálculo dos proventos é a do artigo 25 e o reajuste o do artigo 27, inciso I, ambos da Lei Complementar Estadual nº 1.100/2021. A competência e a remissão à lei complementar do ente vêm do artigo 40, § 4º-A, e do artigo 40, § 1º, inciso III, segunda parte, da Constituição Federal, com redação dada pela Emenda Constitucional nº 103/2019.",,,,,,servidor-com-deficiencia-grave-masculino,servidor-com-deficiencia-por-grau,regra-0059 regra-0060 regra-0061 regra-0062 regra-0063 regra-0064,elaboracao,N,P_COMPILA_PENDENTE
"Aposentadoria Voluntária de Servidor com Deficiência LEVE (MULHER) - Art. 35, inciso III, da Lei Complementar Estadual nº 1.100/2021",,,,,,,,,,,,,,,,,,,,,"Aposentadoria voluntária de servidor público com deficiência leve, com proventos integrais (cálculo por integralidade) e com paridade. O direito exige, cumulativamente, 28 anos de tempo de contribuição — prazo que o artigo 35, inciso III, da Lei Complementar Estadual nº 1.100/2021 fixa para a deficiência leve, se mulher —, além do tempo mínimo de 10 anos de efetivo exercício no serviço público e 5 anos no cargo efetivo em que se dará a aposentadoria, exigidos pelo caput do mesmo artigo. O grau de deficiência é apurado em avaliação biopsicossocial realizada por equipe multiprofissional e interdisciplinar, prévia à concessão, na forma do caput do artigo 35 e do artigo 36 da mesma Lei Complementar. A base de cálculo dos proventos é a do artigo 25 e o reajuste o do artigo 27, inciso I, ambos da Lei Complementar Estadual nº 1.100/2021. A competência e a remissão à lei complementar do ente vêm do artigo 40, § 4º-A, e do artigo 40, § 1º, inciso III, segunda parte, da Constituição Federal, com redação dada pela Emenda Constitucional nº 103/2019.",,,,,,servidor-com-deficiencia-leve-feminino,servidor-com-deficiencia-por-grau,regra-0059 regra-0060 regra-0061 regra-0062 regra-0063 regra-0064,elaboracao,N,P_COMPILA_PENDENTE
"Aposentadoria Voluntária de Servidor com Deficiência LEVE (HOMEM) - Art. 35, inciso III, da Lei Complementar Estadual nº 1.100/2021",,,,,,,,,,,,,,,,,,,,,"Aposentadoria voluntária de servidor público com deficiência leve, com proventos integrais (cálculo por integralidade) e com paridade. O direito exige, cumulativamente, 33 anos de tempo de contribuição — prazo que o artigo 35, inciso III, da Lei Complementar Estadual nº 1.100/2021 fixa para a deficiência leve, se homem —, além do tempo mínimo de 10 anos de efetivo exercício no serviço público e 5 anos no cargo efetivo em que se dará a aposentadoria, exigidos pelo caput do mesmo artigo. O grau de deficiência é apurado em avaliação biopsicossocial realizada por equipe multiprofissional e interdisciplinar, prévia à concessão, na forma do caput do artigo 35 e do artigo 36 da mesma Lei Complementar. A base de cálculo dos proventos é a do artigo 25 e o reajuste o do artigo 27, inciso I, ambos da Lei Complementar Estadual nº 1.100/2021. A competência e a remissão à lei complementar do ente vêm do artigo 40, § 4º-A, e do artigo 40, § 1º, inciso III, segunda parte, da Constituição Federal, com redação dada pela Emenda Constitucional nº 103/2019.",,,,,,servidor-com-deficiencia-leve-masculino,servidor-com-deficiencia-por-grau,regra-0059 regra-0060 regra-0061 regra-0062 regra-0063 regra-0064,elaboracao,N,P_COMPILA_PENDENTE
Voluntária · agentes nocivos · ingresso até 31/12/2003 · 66 pontos e 15 anos de exposição · integral · paridade,APOSENTADORIA VOLUNTÁRIA POR TEMPO DE CONTRIBUIÇÃO,TRUE,3º,FALSE,FALSE,S,CIVIL,S,,S,N,N,N,N,31/12/2003 00:00,01/01/1950 00:00,31/12/2099 00:00,18/10/2021 00:00,,N,"Aposentadoria voluntária de servidor exposto de forma efetiva e permanente a agentes nocivos à saúde, mediante comprovação de 20 anos de serviço público, 5 anos no cargo, 66 pontos e 15 anos de exposição, para servidor ingressado em cargo efetivo até 31/12/2003 que não tenha optado pelo regime do art. 40, § 16, da Constituição Federal, com totalidade da remuneração no cargo efetivo e paridade, nos termos dos arts. 25, 27, I, e 41, I, da LCE 1.100/2021 e do art. 40, §§ 1º, III, e 4º-C, da Constituição Federal.",N,AMBOS,S,Valor Efetivo,,agentes-nocivos-art-41-i-integralidade-paridade,agentes-nocivos-art-41-integralidade-paridade,regra-0065 regra-0066 regra-0067,preview,N,
Voluntária · agentes nocivos · ingresso até 31/12/2003 · 76 pontos e 20 anos de exposição · integral · paridade,APOSENTADORIA VOLUNTÁRIA POR TEMPO DE CONTRIBUIÇÃO,TRUE,3º,FALSE,FALSE,S,CIVIL,S,,S,N,N,N,N,31/12/2003 00:00,01/01/1950 00:00,31/12/2099 00:00,18/10/2021 00:00,,N,"Aposentadoria voluntária de servidor exposto de forma efetiva e permanente a agentes nocivos à saúde, mediante comprovação de 20 anos de serviço público, 5 anos no cargo, 76 pontos e 20 anos de exposição, para servidor ingressado em cargo efetivo até 31/12/2003 que não tenha optado pelo regime do art. 40, § 16, da Constituição Federal, com totalidade da remuneração no cargo efetivo e paridade, nos termos dos arts. 25, 27, I, e 41, II, da LCE 1.100/2021 e do art. 40, §§ 1º, III, e 4º-C, da Constituição Federal.",N,AMBOS,S,Valor Efetivo,,agentes-nocivos-art-41-ii-integralidade-paridade,agentes-nocivos-art-41-integralidade-paridade,regra-0065 regra-0066 regra-0067,preview,N,
Voluntária · agentes nocivos · ingresso até 31/12/2003 · 86 pontos e 25 anos de exposição · integral · paridade,APOSENTADORIA VOLUNTÁRIA POR TEMPO DE CONTRIBUIÇÃO,TRUE,3º,FALSE,FALSE,S,CIVIL,S,,S,N,N,N,N,31/12/2003 00:00,01/01/1950 00:00,31/12/2099 00:00,18/10/2021 00:00,,N,"Aposentadoria voluntária de servidor exposto de forma efetiva e permanente a agentes nocivos à saúde, mediante comprovação no processo concessório de 20 anos de serviço público, 5 anos no cargo, 86 pontos e 25 anos de exposição, para servidor ingressado em cargo efetivo até 31/12/2003 que não tenha optado pelo regime do art. 40, § 16, da Constituição Federal, com proventos correspondentes à totalidade da remuneração no cargo efetivo e com paridade, nos termos dos arts. 25, 27, I, e 41, III, da Lei Complementar Estadual nº 1.100/2021 e do art. 40, §§ 1º, III, e 4º-C, da Constituição Federal.",N,AMBOS,S,Valor Efetivo,,agentes-nocivos-art-41-iii-integralidade-paridade,agentes-nocivos-art-41-integralidade-paridade,regra-0065 regra-0066 regra-0067,preview,N,
Voluntária · agentes nocivos · ingresso após 31/12/2003 · 66 pontos e 15 anos de exposição · média · sem paridade,APOSENTADORIA VOLUNTÁRIA POR TEMPO DE CONTRIBUIÇÃO,TRUE,3º,FALSE,FALSE,S,CIVIL,S,,N,N,N,N,N,31/12/2099 00:00,31/12/2003 00:00,31/12/2099 00:00,18/10/2021 00:00,,N,"Aposentadoria voluntária de servidor exposto de forma efetiva e permanente a agentes nocivos à saúde, mediante comprovação de 20 anos de serviço público, 5 anos no cargo, 66 pontos e 15 anos de exposição, para servidor ingressado em cargo efetivo após 31/12/2003 que não tenha optado pelo regime do art. 40, § 16, da Constituição Federal, com proventos integrais calculados pela média das maiores remunerações correspondentes a 80% do período contributivo e reajuste pelo RGPS, sem paridade, nos termos dos arts. 24, 27, II, e 41, I, da LCE 1.100/2021 e do art. 40, §§ 1º, III, e 4º-C, da Constituição Federal.",N,AMBOS,S,Valor Médio,,agentes-nocivos-art-41-i-media-sem-paridade,agentes-nocivos-art-41-media-sem-paridade,regra-0071,deployable,N,
