MODALIDADE,FUNDAMENTAÇÃO,PROCESSO SEI,OBSERVAÇÃO GECAD,PGE CORREÇÃO,PRESIDENCIA CORREÇÃO,
PENSÃO,"pensão mensal, com fundamento nos artigos 10, I; 28, I; 30, II; 31, §§ 1º e 2º; 32, I e II,
“a”, e § 1º; 33; 34, I a III, e § 2º; 38; e 62 da Lei Complementar Estadual nº 432/2008,
com redação dada pela Lei Complementar Estadual nº 949/2017, bem como no artigo
4º da Emenda Constitucional Estadual nº 146/2021, artigo 40, § 7º, II, § 8º da
Constituição Federal, com redação dada pela Emenda Constitucional nº 41/2003 e
artigo 40, § 7º da Constituição Federal, com redação dada pela Emenda Constitucional
nº 103/2019 - pensão vitalícia e temporária ",0016.004052/2023-81,"verificar se o sistema consegue adaptar aos itens da alínea ""c""",,,
PENSÃO,"pensão mensal, com fundamento nos artigos 27, inciso I; 46, inciso I; 47, inciso I e II;
49; 50; 51, inciso I, II, III e VIII, alínea ""c"", todos da Lei Complementar Estadual nº
1.100/2021 e artigo 40, § 7º, da Constituição Federal, com redação dada pela Emenda
Constitucional nº 103/2019 - pensão vitalícia e temporária",0016.001012/2025-49,,,,
INCAPACIDADE,"aposentadoria por incapacidade permanente, com proventos integrais (cálculo por
média) e sem paridade, com base no artigo 40, § 1º, inciso I, da Constituição Federal,
com redação dada pela Emenda Constitucional nº 41/2003, artigos 20, caput, 45 e 62
da Lei Complementar Estadual nº 432/2008, artigo 4º da Emenda à Constituição
Estadual nº 146/2021 e artigo 40, § 1°, inciso III, da Constituição Federal, com a
redação dada pela Emenda Constitucional nº 103/2019 - fundamento incapacidade -
LCE 432/08 (acidente em serviço, moléstia profissional ou doença grave,
contagiosa ou incurável com ingresso após 2003) ",0031.117501/2020-19,,,,
INCAPACIDADE,"aposentadoria por incapacidade permanente, com proventos proporcionais ao
tempo de contribuição e sem paridade, com base no artigo 40, § 1º, inciso I, da
Constituição Federal, com redação dada pela Emenda Constitucional nº 41/2003,
artigos 17, 20, caput, 45 e 62 da Lei Complementar Estadual nº 432/2008, artigo 4º da
Emenda à Constituição Estadual nº 146/2021 e artigo 40, § 1°, inciso III, da
Constituição Federal, com a redação dada pela Emenda Constitucional nº 103/2019 -
fundamento incapacidade - LCE 432/08 (doença não catalogada com ingresso
após 2003)","0029.237532/2020-34
",,,,
INCAPACIDADE,"aposentadoria por incapacidade permanente, com proventos proporcionais,
calculados com base na última remuneração e com paridade, com fundamento no
artigo 40, §1º, inciso I, da Constituição Federal, com redação dada pela Emenda
Constitucional n. 41/2003, combinado com o artigo 20 da Lei Complementar n.
432/2008, no artigo 6º-A da Emenda Constitucional n. 41/03, com redação dada pela
Emenda Constitucional n. 70/2012, bem como no artigo 4º da Emenda à Constituição
Estadual nº 146/2021 - fundamento incapacidade - 6-A EC 41/03 (sem acidente em
serviço, moléstia profissional ou doença grave, contagiosa ou incurável com
ingresso antes de 2004)",0029.003981/2024-12,,,,
INCAPACIDADE,"aposentadoria por incapacidade permanente, com proventos integrais (cálculo por
integralidade) e com paridade, com base no artigo 40, § 1°, inciso III, segunda parte,
da Constituição Federal, com a redação dada pela Emenda Constitucional nº 103/2019,
artigo 4º da Emenda à Constituição Estadual nº 146/2021, artigo 6º-A da Emenda
Constitucional nº 41/2003, com redação dada pela Emenda Constitucional nº 70/2012 e
artigo 20, caput, § 9º, da Lei Complementar Estadual nº 432/2008. (com acidente em
serviço, moléstia profissional ou doença grave, contagiosa ou incurável com
ingresso antes de 2004)",0016.000495/2024-83,,,,
INCAPACIDADE,"aposentadoria por incapacidade permanente, com proventos integrais (cálculo por
integralidade) e com paridade, com base no artigo 40, § 1º, inciso I, da Constituição
Federal, com redação dada pela Emenda Constitucional n. 103/2019 e os artigos 25 e
27, inciso I e 30, §8°, da Lei Complementar Estadual nº 1.100/2021 - fundamento -
incapacidade - LCE 1.100/2021 (acidente em serviço, moléstia profissional ou
doença grave, contagiosa ou incurável, com ingresso antes de 2004)",0036.000147/2024-78,,,,
INCAPACIDADE,"aposentadoria por incapacidade permanente, com proventos integrais (cálculo por
média) e sem paridade, com base no artigo 40, § 1º, inciso I, da Constituição Federal,
com redação dada pela Emenda Constitucional n. 103/2019 e os artigos 24 e 27, inciso
II e 30, §8°, da Lei Complementar Estadual nº 1.100/2021 (doença grave, contagiosa
ou incurável, com ingresso após 2003)", 0029.059260/2023-78 ,"Parecer 1271, item IV, a",,,
INCAPACIDADE,"aposentadoria por incapacidade permanente, com proventos integrais (cálculo por
média) e sem paridade, com base no artigo 40, § 1º, inciso I, da Constituição Federal,
com redação dada pela Emenda Constitucional n. 103/2019 e os artigos 24 e 27, inciso
II e 30, §§ 5° e 6º, da Lei Complementar Estadual nº 1.100/2021 (acidente em serviço
com ingresso após 2003)",,,,,
INCAPACIDADE,"aposentadoria por incapacidade permanente, com proventos integrais (cálculo por
média) e sem paridade, com base no artigo 40, § 1º, inciso I, da Constituição Federal,
com redação dada pela Emenda Constitucional n. 103/2019 e os artigos 24 e 27, inciso
II e 30, da Lei Complementar Estadual nº 1.100/2021 (moléstia profissional com
ingresso após 2003)",,,,,
