NOME,TIPO DE BENEFICIO,ATUALMENTE NO SISTEMA,CICLO DE VALIDAÇÃO,VALIDADO PGE,VALIDADO PRESIDENCIA,SIMULAVEL,TIPO,APOS_ESPECIAL,TIPO_REMUN,PARIDADE,TabelaPontuacao,Requisitos da IN Nº 5/2020,Relatório p/ Reserva Remunerada por Idade ex-officio,ADICIONAL_INATIVIDADE,DATA_ADM_ATE,DATA_ADM_APOS,DATA_DIREITO_ATE,DATA_DIREITO_APOS,FUNDAMENTACAO_PROPORCIONAL,VISIVEL DTC PROPORCIONAL,FUNDAMENTACAO_INTEGRAL,VISIVEL DTC INTEGRAL,SEXO,INTEGRAL,TIPO_CALCULO,FUNDAMENTACAO,REGRA PROPOSTA,SUBSTITUI,RESSALVA HOMOLOGACAO
Invalidez · EC 20/1998 · acidente em serviço · integral · paridade,APOSENTADORIA POR INVALIDEZ,,,,,N,,,,S,,,,,,,31/12/2003 00:00,16/12/1998 00:00,,,"No curso do processo administrativo, ficou demonstrado que o interessado era servidor titular de cargo efetivo e que se encontrava em estado de invalidez permanente, apurado por junta médica oficial mediante laudo, e que essa invalidez decorreu de acidente em serviço, cujo nexo com a atividade foi reconhecido a partir da comunicação e da apuração do acidente, dos prontuários e dos assentamentos funcionais. Ficou demonstrado, ainda, que os requisitos estavam integralmente cumpridos entre 16 de dezembro de 1998 e 30 de dezembro de 2003.

A hipótese se extrai da conjugação de quatro dispositivos, e é a articulação entre eles que a completa. O art. 40, § 1º, inciso I, da Constituição Federal, na redação da Emenda Constitucional nº 20/1998, autoriza a aposentadoria por invalidez permanente e, dentro do mesmo inciso, separa dois resultados: reserva os proventos integrais às invalidezes decorrentes de acidente em serviço, moléstia profissional ou doença grave, contagiosa ou incurável especificada em lei, e atribui proventos proporcionais nos demais casos. É por ser o acidente em serviço uma das causas ali qualificadas que esta regra conduz ao resultado integral, e é por isso que a demonstração do nexo com o serviço não é formalidade: dela depende o próprio ramo do cálculo. O art. 40, § 3º, na mesma redação, responde a pergunta que o inciso I não responde — sobre que valor o cálculo incide —, fixando a base na totalidade da remuneração do cargo efetivo; sem ele, ""integral"" diria apenas que não há redução, sem dizer redução de quê. O art. 40, § 8º, na mesma redação, opera depois da concessão e assegura a revisão dos proventos na mesma proporção e na mesma data da remuneração dos servidores em atividade. Por fim, como a concessão pode ocorrer depois de 31 de dezembro de 2003, o art. 3º da Emenda Constitucional nº 41/2003 é o que permite aplicar essa disciplina já alterada: ele assegura a concessão, a qualquer tempo, a quem houver cumprido todos os requisitos até a publicação daquela Emenda, com base nos critérios da legislação então vigente.

Do enquadramento resulta a concessão de proventos integrais, sem redução proporcional ao tempo, calculados sobre a totalidade da remuneração do cargo efetivo, na forma de cálculo vinculada a esta regra e fundada no art. 40, § 3º, na redação da Emenda Constitucional nº 20/1998. A paridade não integra esse cálculo inicial: ela decorre do art. 40, § 8º e opera como regime de revisão posterior dos proventos já concedidos.",,AMBOS,S,Valor Efetivo,,invalidez-ec20-acidente-em-servico,regra-0004,"Confirmar em homologação o fluxo de reconhecimento do acidente em serviço e a seleção da unidade; a pendência é operacional, não jurídica."
Invalidez · EC 20/1998 · demais causas · proporcional · paridade,APOSENTADORIA POR INVALIDEZ,,,,,N,,,,S,,,,,,,31/12/2003 00:00,16/12/1998 00:00,"No curso do processo administrativo, ficou demonstrado que o interessado era servidor titular de cargo efetivo e se encontrava em estado de invalidez permanente, apurado por junta médica oficial mediante laudo. A instrução também excluiu acidente em serviço, moléstia profissional e doença grave, contagiosa ou incurável especificada na lei estadual aplicável, de modo que o caso pertence ao ramo residual de causa comum. Ficou demonstrado, ainda, que os requisitos estavam integralmente cumpridos entre 16 de dezembro de 1998 e 30 de dezembro de 2003.

O art. 40, § 1º, inciso I, da Constituição Federal, na redação da Emenda Constitucional nº 20/1998, determina proventos proporcionais ao tempo de contribuição quando a invalidez não decorre de causa qualificada. O § 3º fixa a base na totalidade da remuneração do cargo efetivo. Para o período de 16 de dezembro de 1998 a 30 de janeiro de 2000, adotam-se os denominadores de 35 anos para homem e 30 anos para mulher por interpretação sistemática do inciso I com o § 1º, inciso III, alínea “a”, e não por literalidade do ramo de invalidez. Essa leitura foi aplicada contemporaneamente pelo art. 5º, § 1º, da Instrução Normativa SEAP nº 5/1999 no SIPEC federal, ato que serve como evidência interpretativa, mas não vincula o Estado de Rondônia. A partir de 31 de janeiro de 2000, o art. 43, parágrafo único, inciso I, da Lei Complementar Estadual nº 228/2000 fixa diretamente 1/35 da remuneração por ano de serviço para homem e 1/30 para mulher. O resultado material é o mesmo nos dois trechos, razão pela qual a mudança da fonte direta não cria nova regra. O art. 4º da EC 20 conta como contribuição o tempo de serviço reconhecido, e o art. 137 da LCE 68/1992 converte os dias em anos de 365 dias, desprezando o resto de até 180 dias e arredondando para um ano o resto superior a 180. O piso é um salário mínimo, pela conjugação do art. 40, § 12, com o art. 201, § 2º, da Constituição, e foi explicitado no art. 43, parágrafo único, inciso II, da LCE 228/2000. O art. 40, § 8º, assegura a paridade; o art. 3º da EC 41/2003 preserva a concessão posterior para quem completou os requisitos sob essa disciplina.

Do enquadramento resulta a concessão de proventos proporcionais sobre a totalidade da remuneração do cargo efetivo: contam-se os anos convertidos na forma do art. 137 da LCE 68/1992, aplica-se 1/35 por ano ao homem ou 1/30 por ano à mulher, limita-se a fração à unidade e observa-se o piso de um salário mínimo. Após a concessão, os proventos são revistos pelo regime de paridade do art. 40, § 8º, na redação da EC 20/1998.",,,,AMBOS,N,Valor Efetivo,,invalidez-ec20-causa-comum,regra-0004,A projeção do enum legado e o fluxo administrativo de exclusão das causas qualificadas devem ser confirmados em homologação; a fórmula jurídica já está determinada.
Invalidez · EC 20/1998 · doença grave catalogada · integral · paridade,APOSENTADORIA POR INVALIDEZ,,,,,N,,,,S,,,,,,,31/12/2003 00:00,16/12/1998 00:00,,,,,AMBOS,S,Valor Efetivo,,invalidez-ec20-doenca-catalogada,regra-0004,A homologação deve confirmar a projeção e o fluxo de cotejo do diagnóstico com a versão do rol selecionada pela data do direito.
Invalidez · EC 20/1998 · moléstia profissional · integral · paridade,APOSENTADORIA POR INVALIDEZ,,,,,N,,,,S,,,,,,,31/12/2003 00:00,16/12/1998 00:00,,,,,AMBOS,S,Valor Efetivo,,invalidez-ec20-molestia-profissional,regra-0004,A projeção e o protocolo de reconhecimento do nexo serão conferidos na homologação; a regra jurídica está determinada.
Invalidez · EC 41/2003 · desde MP 167 · acidente em serviço · média sem proporcionalização · sem paridade,APOSENTADORIA POR INVALIDEZ,,,,,N,,,,N,,,,,,,01/01/2025 00:00,20/02/2004 00:00,,,,,AMBOS,S,Valor Médio,,invalidez-ec41-geral-acidente-em-servico,regra-0006,Confirmar em homologação a projeção da média e a obtenção/classificação da causa; as pendências conhecidas são operacionais.
Invalidez · EC 41/2003 · desde MP 167 · doença catalogada · média sem proporcionalização · sem paridade,APOSENTADORIA POR INVALIDEZ,,,,,N,,,,N,,,,,,,01/01/2025 00:00,20/02/2004 00:00,,,,,AMBOS,S,Valor Médio,,invalidez-ec41-geral-doenca-catalogada,regra-0006,"A homologação deve confirmar o fluxo, a projeção e o cotejo do diagnóstico com a versão do rol selecionada pela data do direito."
Invalidez · EC 41/2003 · desde MP 167 · moléstia profissional · média sem proporcionalização · sem paridade,APOSENTADORIA POR INVALIDEZ,,,,,N,,,,N,,,,,,,01/01/2025 00:00,20/02/2004 00:00,,,,,AMBOS,S,Valor Médio,,invalidez-ec41-geral-molestia-profissional,regra-0006,"Confirmar em homologação o protocolo do nexo, a projeção da média e a seleção da causa; as pendências conhecidas são operacionais."
Invalidez · EC 41 · antes da MP 167 · acidente em serviço · remuneração do cargo · sem paridade,APOSENTADORIA POR INVALIDEZ,,,,,N,,,,N,,,,,,,20/02/2004 00:00,31/12/2003 00:00,,,,,AMBOS,S,Valor Efetivo,,invalidez-ec41-geral-pre-mp167-acidente-em-servico,regra-0006,Confirmar em homologação a projeção operacional e o fluxo de seleção da causa; a pendência conhecida é operacional.
Invalidez · EC 41 · antes da MP 167 · doença catalogada · remuneração do cargo · sem paridade,APOSENTADORIA POR INVALIDEZ,,,,,N,,,,N,,,,,,,20/02/2004 00:00,31/12/2003 00:00,,,,,AMBOS,S,Valor Efetivo,,invalidez-ec41-geral-pre-mp167-doenca-catalogada,regra-0006,A homologação deve confirmar a projeção e o cotejo do diagnóstico com o rol da LCE 228 na redação da LCE 253/2002.
Invalidez · EC 41 · antes da MP 167 · moléstia profissional · remuneração do cargo · sem paridade,APOSENTADORIA POR INVALIDEZ,,,,,N,,,,N,,,,,,,20/02/2004 00:00,31/12/2003 00:00,,,,,AMBOS,S,Valor Efetivo,,invalidez-ec41-geral-pre-mp167-molestia-profissional,regra-0006,Confirmar em homologação o protocolo do nexo profissional e a seleção da causa; a fórmula jurídica está determinada.
Invalidez · EC 41/2003 · LCE 432 · demais causas · média proporcional em dias · sem paridade,APOSENTADORIA POR INVALIDEZ,,,,,N,,,,N,,,,,,,01/01/2025 00:00,13/03/2008 00:00,,,,,AMBOS,N,Proporcionalidade Dias,,invalidez-ec41-geral-causa-comum,regra-0007,Confirmar em homologação a projeção da fórmula composta e a classificação da causa comum; as pendências conhecidas são operacionais.
Invalidez · EC 41 · média federal e LC 228 · demais causas · proporcional por anos · sem paridade,APOSENTADORIA POR INVALIDEZ,,,,,N,,,,N,,,,,,,13/03/2008 00:00,20/02/2004 00:00,,,,,AMBOS,N,Valor Médio,,invalidez-ec41-geral-media-lc228-causa-comum,regra-0007,Confirmar em homologação o tratamento administrativo da fração de ano e a seleção da causa comum; a fórmula jurídica está determinada.
