,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOME,TIPO DE BENEFICIO,ATUALMENTE NO SISTEMA,CICLO DE VALIDAÇÃO,VALIDADO PGE,VALIDADO PRESIDENCIA,SIMULAVEL,TIPO,APOS_ESPECIAL,TIPO_REMUN,PARIDADE,TabelaPontuacao,Requisitos da IN Nº 5/2020,Relatório p/ Reserva Remunerada por Idade ex-officio,ADICIONAL_INATIVIDADE,DATA_ADM_ATE,DATA_ADM_APOS,DATA_DIREITO_ATE,DATA_DIREITO_APOS,FUNDAMENTACAO_PROPORCIONAL,VISIVEL DTC PROPORCIONAL,FUNDAMENTACAO_INTEGRAL,VISIVEL DTC INTEGRAL,SEXO,INTEGRAL,TIPO_CALCULO,FUNDAMENTACAO,status_regra,motivo_inativacao,status_auditoria,auditado_por,auditado_em,atos_validacao,dispositivos,precedentes,disposicao_de_achados
Aposentadoria por Invalidez Anterior E.C 20/1998,APOSENTADORIA POR INVALIDEZ,TRUE,1º,FALSE,FALSE,N,CIVIL,N,,S,N,N,N,N,15/12/1998 00:00,01/01/1910 00:00,15/12/1998 00:00,01/01/1910 00:00,,N,"Art. 40, inciso I da Constituição Federal de 1988 em seu texto original",N,AMBOS,S,Valor Efetivo,,ativa,,importada,,,[],"[""/dispositivos/cf88/art-40-inc-i/original.md""]",[],[]
Aposentadoria por Invalidez Anterior E.C 20/1998,APOSENTADORIA POR INVALIDEZ,TRUE,1º,FALSE,FALSE,N,CIVIL,N,,S,N,N,N,N,15/12/1998 00:00,01/01/1910 00:00,15/12/1998 00:00,01/01/1910 00:00,,N,"Art. 40, inciso I da Constituição Federal de 1988 em seu texto original",N,AMBOS,N,Valor Efetivo,,ativa,,importada,,,[],"[""/dispositivos/cf88/art-40-inc-i/original.md""]",[],[]
Pensão por Morte - com redação original da CF/88,PENSÃO POR MORTE,TRUE,1º,FALSE,FALSE,N,CIVIL,N,,S,N,N,N,N,15/12/1998 00:00,01/01/1910 00:00,15/12/1998 00:00,01/01/1969 00:00,,N,"Art. 40, §5º da Constituição Federal de 1988 em seu texto original",N,,,Não identificado,,ativa,,importada,,,[],[],[],[]
Aposentadoria por Invalidez - Redação da EC 20/1998,APOSENTADORIA POR INVALIDEZ,TRUE,1º,FALSE,FALSE,N,CIVIL,N,,S,N,N,N,N,31/12/2003 00:00,01/01/1910 00:00,31/12/2003 00:00,16/12/1998 00:00,"Art 40, §1º, I, da CF com redação da EC 20/98",N,"Art 40, §1º, I, da CF com redação da EC 20/98",N,,,Não identificado,,ativa,,importada,,,[],"[""/dispositivos/cf88/art-40-par-1-inc-i/ec-20-1998.md""]",[],[]
Pensão por Morte - CF/88 com redação da EC nº 20/1998,PENSÃO POR MORTE,TRUE,1º,FALSE,FALSE,N,CIVIL,N,,S,N,N,N,N,31/12/2003 00:00,01/01/1910 00:00,31/12/2003 00:00,16/12/1998 00:00,"Art. 40, §7º da CF/88 com redação dada pela EC 20/1998",N,"Art. 40, §7º da CF/88 com redação dada pela EC 20/1998",N,,,Não identificado,,ativa,,importada,,,[],[],[],[]
"Invalidez - Art. 40, §1º, I da CF, com redação dada pela EC nº 41/2003 e Arts. 17 e 20 da LC 432/2008",APOSENTADORIA POR INVALIDEZ,TRUE,1º,FALSE,FALSE,S,CIVIL,N,,N,N,N,N,N,31/12/2099 00:00,01/01/1950 00:00,31/12/2099 00:00,31/12/2003 00:00,"Aposentadoria por incapacidade permanente, com proventos proporcionais ao tempo de contribuição e sem paridade, com base no artigo 40, § 1º, inciso I, da Constituição Federal, com redação dada pela Emenda Constitucional nº 41/2003, artigos 17, 20, caput, 45 e 62 da Lei Complementar Estadual nº 432/2008, artigo 4º da Emenda à Constituição Estadual nº 146/2021 e artigo 40, § 1°, inciso III, da Constituição Federal, com a redação dada pela Emenda Constitucional nº 103/2019 - fundamento incapacidade - LCE 432/08 (doença não catalogada com ingresso após 2003)",N,"Aposentadoria por incapacidade permanente, com proventos integrais (cálculo por média) e sem paridade, com base no artigo 40, § 1º, inciso I, da Constituição Federal, com redação dada pela Emenda Constitucional nº 41/2003, artigos 20, caput, 45 e 62 da Lei Complementar Estadual nº 432/2008, artigo 4º da Emenda à Constituição Estadual nº 146/2021 e artigo 40, § 1°, inciso III, da Constituição Federal, com a redação dada pela Emenda Constitucional nº 103/2019 - fundamento incapacidade - LCE 432/08 (acidente em serviço, moléstia profissional ou doença grave, contagiosa ou incurável com ingresso após 2003).",N,AMBOS,S,Valor Médio,,ativa,,importada,,,[],"[""/dispositivos/cf88/art-40-par-1-inc-i/ec-41-2003.md"", ""/dispositivos/cf88/art-40-par-1-inc-iii/ec-103-2019.md"", ""/dispositivos/ece-146-2021/art-4/original.md"", ""/dispositivos/lce-432-2008/art-17/original.md"", ""/dispositivos/lce-432-2008/art-20-caput/original.md"", ""/dispositivos/lce-432-2008/art-45/lce-672-2012.md"", ""/dispositivos/lce-432-2008/art-62/original.md""]",[],[]
"Invalidez - Art. 40, §1º, I da CF, com redação dada pela EC nº 41/2003 e Arts. 17 e 20 da LC 432/2008",APOSENTADORIA POR INVALIDEZ,TRUE,1º,FALSE,FALSE,S,CIVIL,N,,N,N,N,N,N,31/12/2099 00:00,01/01/1950 00:00,31/12/2099 00:00,31/12/2003 00:00,"Aposentadoria por incapacidade permanente, com proventos proporcionais ao tempo de contribuição e sem paridade, com base no artigo 40, § 1º, inciso I, da Constituição Federal, com redação dada pela Emenda Constitucional nº 41/2003, artigos 17, 20, caput, 45 e 62 da Lei Complementar Estadual nº 432/2008, artigo 4º da Emenda à Constituição Estadual nº 146/2021 e artigo 40, § 1°, inciso III, da Constituição Federal, com a redação dada pela Emenda Constitucional nº 103/2019 - fundamento incapacidade - LCE 432/08 (doença não catalogada com ingresso após 2003)",N,"Aposentadoria por incapacidade permanente, com proventos integrais (cálculo por média) e sem paridade, com base no artigo 40, § 1º, inciso I, da Constituição Federal, com redação dada pela Emenda Constitucional nº 41/2003, artigos 20, caput, 45 e 62 da Lei Complementar Estadual nº 432/2008, artigo 4º da Emenda à Constituição Estadual nº 146/2021 e artigo 40, § 1°, inciso III, da Constituição Federal, com a redação dada pela Emenda Constitucional nº 103/2019 - fundamento incapacidade - LCE 432/08 (acidente em serviço, moléstia profissional ou doença grave, contagiosa ou incurável com ingresso após 2003).",N,AMBOS,N,Proporcionalidade Dias,"Art. 20, §14º e Art. 45 da Lei Complementar nº 432/2008",ativa,,importada,,,[],"[""/dispositivos/cf88/art-40-par-1-inc-i/ec-41-2003.md"", ""/dispositivos/cf88/art-40-par-1-inc-iii/ec-103-2019.md"", ""/dispositivos/ece-146-2021/art-4/original.md"", ""/dispositivos/lce-432-2008/art-17/original.md"", ""/dispositivos/lce-432-2008/art-20-caput/original.md"", ""/dispositivos/lce-432-2008/art-20-par-14/original.md"", ""/dispositivos/lce-432-2008/art-45/lce-672-2012.md"", ""/dispositivos/lce-432-2008/art-62/original.md""]",[],[]
"Invalidez - Art. 6º-A da EC nº 41/2003, com redação da EC nº 70/2012 e Arts. 17 e 20 da LC 432/2008",APOSENTADORIA POR INVALIDEZ,TRUE,1º,FALSE,FALSE,S,CIVIL,N,,S,N,N,N,N,31/12/2003 00:00,01/01/1950 00:00,31/12/2099 00:00,31/12/2003 00:00,"Aposentadoria por incapacidade permanente, com proventos proporcionais, calculados com base na última remuneração e com paridade, com fundamento no artigo 40, §1º, inciso I, da Constituição Federal, com redação dada pela Emenda Constitucional n. 41/2003, combinado com o artigo 20 da Lei Complementar n. 432/2008, no artigo 6º-A da Emenda Constitucional n. 41/03, com redação dada pela Emenda Constitucional n. 70/2012, bem como no artigo 4º da Emenda à Constituição Estadual nº 146/2021 - fundamento incapacidade - 6-A EC 41/03 (sem acidente em serviço, moléstia profissional ou doença grave, contagiosa ou incurável com ingresso antes de 2004)",N,"Aposentadoria por incapacidade permanente, com proventos integrais (cálculo por integralidade) e com paridade, com base no artigo 40, § 1°, inciso III, segunda parte, da Constituição Federal, com a redação dada pela Emenda Constitucional nº 103/2019, artigo 4º da Emenda à Constituição Estadual nº 146/2021, artigo 6º-A da Emenda Constitucional nº 41/2003, com redação dada pela Emenda Constitucional nº 70/2012 e artigo 20, caput, § 9º, da Lei Complementar Estadual nº 432/2008. (com acidente em serviço, moléstia profissional ou doença grave, contagiosa ou incurável com ingresso antes de 2004)",N,AMBOS,S,Remuneração de Contribuição,,ativa,,importada,,,[],"[""/dispositivos/cf88/art-40-par-1-inc-i/ec-41-2003.md"", ""/dispositivos/cf88/art-40-par-1-inc-iii/ec-103-2019.md"", ""/dispositivos/ec-41-2003/art-6a/ec-70-2012.md"", ""/dispositivos/ece-146-2021/art-4/original.md"", ""/dispositivos/lce-432-2008/art-20-caput/original.md"", ""/dispositivos/lce-432-2008/art-20-par-9/original.md"", ""/dispositivos/lce-432-2008/art-20/original.md""]",[],[]
"Invalidez - Art. 6º-A da EC nº 41/2003, com redação da EC nº 70/2012 e Arts. 17 e 20 da LC 432/2008",APOSENTADORIA POR INVALIDEZ,TRUE,1º,FALSE,FALSE,S,CIVIL,N,,S,N,N,N,N,31/12/2003 00:00,01/01/1950 00:00,31/12/2099 00:00,31/12/2003 00:00,"Aposentadoria por incapacidade permanente, com proventos proporcionais, calculados com base na última remuneração e com paridade, com fundamento no artigo 40, §1º, inciso I, da Constituição Federal, com redação dada pela Emenda Constitucional n. 41/2003, combinado com o artigo 20 da Lei Complementar n. 432/2008, no artigo 6º-A da Emenda Constitucional n. 41/03, com redação dada pela Emenda Constitucional n. 70/2012, bem como no artigo 4º da Emenda à Constituição Estadual nº 146/2021 - fundamento incapacidade - 6-A EC 41/03 (sem acidente em serviço, moléstia profissional ou doença grave, contagiosa ou incurável com ingresso antes de 2004)",N,"Aposentadoria por incapacidade permanente, com proventos integrais (cálculo por integralidade) e com paridade, com base no artigo 40, § 1°, inciso III, segunda parte, da Constituição Federal, com a redação dada pela Emenda Constitucional nº 103/2019, artigo 4º da Emenda à Constituição Estadual nº 146/2021, artigo 6º-A da Emenda Constitucional nº 41/2003, com redação dada pela Emenda Constitucional nº 70/2012 e artigo 20, caput, § 9º, da Lei Complementar Estadual nº 432/2008. (com acidente em serviço, moléstia profissional ou doença grave, contagiosa ou incurável com ingresso antes de 2004)",N,AMBOS,N,Remuneração de Contribuição,,ativa,,importada,,,[],"[""/dispositivos/cf88/art-40-par-1-inc-i/ec-41-2003.md"", ""/dispositivos/cf88/art-40-par-1-inc-iii/ec-103-2019.md"", ""/dispositivos/ec-41-2003/art-6a/ec-70-2012.md"", ""/dispositivos/ece-146-2021/art-4/original.md"", ""/dispositivos/lce-432-2008/art-20-caput/original.md"", ""/dispositivos/lce-432-2008/art-20-par-9/original.md"", ""/dispositivos/lce-432-2008/art-20/original.md""]",[],[]
Pensão por Morte oriunda do Art. 6º-A da EC nº 41/03 redação EC nº 70/12 c/c art. 4º da EC nº 146/2021,PENSÃO POR MORTE,TRUE,1º,FALSE,FALSE,N,CIVIL,N,,S,N,N,N,N,31/12/2003 00:00,01/01/1950 00:00,31/12/2024 00:00,31/12/2003 00:00,art. 40 § 7º II da CF 88 C/C art. 6º-A § -unico da EC nº 41 com redação EC nº 70/12,N,art. 40 § 7º I da CF 88 C/C art. 6º-A § -unico da EC nº 41 com redação EC nº 70/12,N,AMBOS,S,Valor Efetivo mais 70% do que exceder do Teto RGPS,,ativa,,importada,,,[],"[""/dispositivos/cf88/art-40-par-7-inc-i/ec-41-2003.md"", ""/dispositivos/cf88/art-40-par-7-inc-ii/ec-41-2003.md"", ""/dispositivos/ec-41-2003/art-6a/ec-70-2012.md""]",[],[]
